episode,score,epsilon
1,-2715.0,0.995
2,-2943.0,0.990025
3,-2092.0,0.985074875
4,-962.0,0.9801495006250001
5,-3002.5,0.9752487531218751
6,-1668.0,0.9703725093562657
7,-1626.5,0.9655206468094844
8,-957.5,0.960693043575437
9,-1196.5,0.9558895783575597
10,-1599.5,0.9511101304657719
11,-2338.5,0.946354579813443
12,-1716.0,0.9416228069143757
13,-980.0,0.9369146928798039
14,-2035.0,0.9322301194154049
15,-3776.0,0.9275689688183278
16,-1917.0,0.9229311239742362
17,-2081.0,0.918316468354365
18,-1867.0,0.9137248860125932
19,-781.0,0.9091562615825302
20,-804.0,0.9046104802746175
21,-1046.5,0.9000874278732445
22,-1626.0,0.8955869907338783
23,-1052.5,0.8911090557802088
24,-1174.5,0.8866535105013078
25,-1170.0,0.8822202429488013
26,-1471.0,0.8778091417340573
27,-1532.0,0.8734200960253871
28,-688.5,0.8690529955452602
29,-1210.5,0.8647077305675338
30,-1101.5,0.8603841919146962
31,-4022.0,0.8560822709551227
32,-1435.0,0.851801859600347
33,-542.5,0.8475428503023453
34,-790.5,0.8433051360508336
35,-816.5,0.8390886103705794
36,-458.0,0.8348931673187264
37,-624.0,0.8307187014821328
38,-924.0,0.8265651079747222
39,-1356.0,0.8224322824348486
40,-1327.0,0.8183201210226743
41,-970.5,0.8142285204175609
42,-914.0,0.810157377815473
43,-1047.0,0.8061065909263957
44,-572.5,0.8020760579717637
45,-1659.5,0.798065677681905
46,-1457.5,0.7940753492934954
47,-984.0,0.7901049725470279
48,-522.5,0.7861544476842928
49,-988.0,0.7822236754458713
50,-930.5,0.778312557068642
51,-2047.0,0.7744209942832988
52,-960.0,0.7705488893118823
53,-1048.0,0.7666961448653229
54,-728.5,0.7628626641409962
55,-942.0,0.7590483508202912
56,-1737.5,0.7552531090661897
57,-919.5,0.7514768435208588
58,-1243.5,0.7477194593032545
59,-1186.0,0.7439808620067382
60,-1290.0,0.7402609576967045
61,-96.5,0.736559652908221
62,-973.0,0.7328768546436799
63,-108.0,0.7292124703704616
64,-975.5,0.7255664080186093
65,-321.5,0.7219385759785162
