episode,score,epsilon
1,-2915.5,0.995
2,-3211.0,0.990025
3,-3364.0,0.985074875
4,-1130.0,0.9801495006250001
5,-3541.5,0.9752487531218751
6,-1783.0,0.9703725093562657
7,-2428.0,0.9655206468094844
8,-3819.0,0.960693043575437
9,-1229.0,0.9558895783575597
10,-773.5,0.9511101304657719
11,-2166.0,0.946354579813443
12,-5665.0,0.9416228069143757
13,-1425.5,0.9369146928798039
14,-2571.5,0.9322301194154049
15,-4764.0,0.9275689688183278
16,-1028.5,0.9229311239742362
17,-1343.5,0.918316468354365
18,-1370.0,0.9137248860125932
19,-1285.5,0.9091562615825302
20,-5039.5,0.9046104802746175
21,-973.5,0.9000874278732445
22,-1932.5,0.8955869907338783
23,-1625.0,0.8911090557802088
24,-1333.0,0.8866535105013078
25,-1035.0,0.8822202429488013
26,-831.5,0.8778091417340573
27,-1691.0,0.8734200960253871
28,-1902.5,0.8690529955452602
29,-4028.0,0.8647077305675338
30,-850.5,0.8603841919146962
31,-1362.5,0.8560822709551227
32,-1416.0,0.851801859600347
33,-1174.0,0.8475428503023453
34,-1407.0,0.8433051360508336
35,-1978.0,0.8390886103705794
36,-2658.0,0.8348931673187264
37,-1611.0,0.8307187014821328
38,-1564.0,0.8265651079747222
39,-1194.0,0.8224322824348486
40,-763.5,0.8183201210226743
41,-918.0,0.8142285204175609
42,-1568.5,0.810157377815473
43,-773.5,0.8061065909263957
44,-914.0,0.8020760579717637
45,-1143.5,0.798065677681905
46,-1264.0,0.7940753492934954
47,-736.0,0.7901049725470279
48,-926.5,0.7861544476842928
49,-1151.5,0.7822236754458713
50,-1251.5,0.778312557068642
51,-1732.0,0.7744209942832988
52,-1507.0,0.7705488893118823
53,-1054.5,0.7666961448653229
54,-681.5,0.7628626641409962
55,-1111.5,0.7590483508202912
56,-823.5,0.7552531090661897
57,-1111.5,0.7514768435208588
58,-1169.5,0.7477194593032545
59,-438.5,0.7439808620067382
60,-560.5,0.7402609576967045
61,-704.5,0.736559652908221
62,-1409.0,0.7328768546436799
63,-588.5,0.7292124703704616
64,-824.5,0.7255664080186093
65,-904.5,0.7219385759785162
66,-879.5,0.7183288830986236
67,-433.5,0.7147372386831305
68,-873.5,0.7111635524897149
69,-837.5,0.7076077347272662
70,-487.5,0.7040696960536299
71,-691.5,0.7005493475733617
72,-1066.5,0.697046600835495
73,-825.0,0.6935613678313175
74,-707.5,0.6900935609921609
75,-984.0,0.6866430931872001
76,-451.5,0.6832098777212641
77,-707.5,0.6797938283326578
78,-183.5,0.6763948591909945
79,-872.0,0.6730128848950395
80,-933.5,0.6696478204705644
81,-1640.5,0.6662995813682115
82,-444.5,0.6629680834613705
83,-876.5,0.6596532430440636
84,-212.5,0.6563549768288433
85,-356.5,0.653073201944699
86,-767.5,0.6498078359349755
87,-473.5,0.6465587967553006
88,-709.0,0.6433260027715241
89,-1016.5,0.6401093727576664
90,-760.5,0.6369088258938781
91,-614.5,0.6337242817644086
92,-590.5,0.6305556603555866
93,-508.5,0.6274028820538087
94,-551.0,0.6242658676435396
95,-1035.5,0.6211445383053219
96,-870.0,0.6180388156137953
97,-432.5,0.6149486215357263
98,-316.5,0.6118738784280476
99,-1456.5,0.6088145090359074
100,-684.0,0.6057704364907278
101,-405.0,0.6027415843082742
102,-1246.0,0.5997278763867329
103,-285.5,0.5967292370047992
104,-590.0,0.5937455908197752
105,-860.5,0.5907768628656763
106,-989.5,0.5878229785513479
107,-766.5,0.5848838636585911
108,-504.5,0.5819594443402982
109,-902.5,0.5790496471185967
110,-328.5,0.5761543988830038
111,-901.0,0.5732736268885887
112,-999.0,0.5704072587541458
113,-862.5,0.567555222460375
114,-812.0,0.5647174463480732
115,-519.0,0.5618938591163328
116,-830.0,0.5590843898207511
117,-956.5,0.5562889678716474
118,-319.0,0.5535075230322891
119,-359.5,0.5507399854171277
120,-808.5,0.547986285490042
121,-579.5,0.5452463540625918
122,-898.0,0.5425201222922789
123,-938.0,0.5398075216808175
124,-467.0,0.5371084840724134
125,-619.5,0.5344229416520513
126,-949.0,0.531750826943791
127,-980.0,0.5290920728090721
128,-345.0,0.5264466124450268
129,-319.0,0.5238143793828016
130,-374.0,0.5211953074858876
131,-1137.5,0.5185893309484582
132,-647.5,0.5159963842937159
133,-273.0,0.5134164023722473
134,-865.0,0.510849320360386
135,-418.0,0.5082950737585841
136,-562.0,0.5057535983897912
137,-836.5,0.5032248303978422
138,-408.5,0.500708706245853
139,-623.5,0.4982051627146237
140,-492.0,0.49571413690105054
